puuid,gameName,tagLine,leaderboardRank,rankedRating,numberOfWins,competitiveTier
kIGJ_DtDebGxSuRXSDSVYWEQ_uXCcFdHzOJ9OS3ZKLz7cVkfg7n8TlP9e4uL7Xf_sEGvpa_em4WHEQ,Crazymojo,9669,114,631,27,27
EglG87LBmsd8VT1gnhQgqHawKN8bclGrcQvJFCfy3OeOCdIVz1bAn7hpYIDM72kaqjRGSWGn9Xc7Bw,MXS BRAWK,kels,115,631,25,27
R9VV5h_BIqIC9oOvKX3tcQCm8-r5EB-0NV7Z8zDuWkUW9G7c_7H-TzOZT-6b4Y2hlO7-ziTdv219nw,huphh,FCity,116,631,39,27
13LaXBE-d45NFxRyUBJ481jfDELcOb2qBNL0j6GoHVlT4G9oou86razfSqXqAFGIMSO3EAdtbvvT1g,gMd,DADDY,117,630,46,27
SnOIt1CVvXAsrom_gE5bnIMRhWEZ0Fw3ubLcp1-Oi4XNpALWBjl8F7T0CxsnCQ-C7yi4k3IRSdycMw,sinatraa,rich,118,630,78,27
X2tgs_afMV7cAfRrY3kjVGWBC8GXg5lAs56CUR1GloEmU9MPOAo9orrYgiDOv4E1gWFDRmu17KsabA,Jonaaa6,april,119,628,24,27
R6Ar24Dw0jR9mBrPSN4vCtgcmfd7HhMBE6rElZyFYZCpVvg54GAmrR0gUOrcRhZJZc6wBt-UBn3c5w,austifrosti,1146,120,628,23,27
phU4tn-T8GZAxrV0-2swVYg5VyyHgEZLuBbt2IcIChK-ZqZNDmJtZpFlb6mLJ4uWx4V0j1jOK6h4Hg,duck,azor,121,628,44,27
yaTTIkBm-MtPQMGw00Ludy6Iqp9X8nVNLiTvClZIF_ch-fw3vi1mjm4kiGlimvfr-tGcZwK_rZ85ww,Loumac,main,122,626,75,27
phFBweOgguhQlX3qhxxiyEN0wsfcripQqRj4ehBZwoyNVQcR2WyGTVrjPbA6O_LlXMpZq0dTp87FQA,trub,2006,123,623,34,27
iAAKQN74QmFXCKal94RFNVOJBurhreH6c30BqWFA9XiBPlzIGvlm1YwMsokL3cK_G8kNpwy75DhDlA,pacsunes,777,124,623,49,27
125,621,37,27
CNdtd4EKzk4YBHWv8kxK13sRVU7dQ-XAEUV-rgTsOtegeDt8ckWBrtrvNluL5GvtdbNI8oU5KcaYMg,k3ni,777,126,620,34,27
127,619,60,27
PQJm6pXsv2WOUZfbsGAJw7RX8uE-5Q3hFmcPOTppqLvIuIndyEwOB_ewaD--w9deVUCwdqcJI2IOyw,Grim,main,128,619,32,27
ln1UEN3ZTMsO9eauVP9qeXsbuAHB_4qnanRop5zx1BTuhu6dE42kVioVTxqx3GvdPFAXKhFfbH8CwA,Rawkus,1337,129,619,40,27
PqqCTMUvq8wdrWxWZWD8ExCfmPZWGJIPlpDgL7dkNGp-KKJ-bdGc7n73td8G4NcaXgCAv-KtvMNHkg,JAVIFASTLIKETENZ,WIDE,130,619,43,27
Nz4eNnAEqWBqLCNQGqdIVvVls1whcMzAiv62KxHBeFQoQK7sbS9q_SUKbZea7Fk4rlwuXG9Xd7vZjA,CC Legend,9520,131,618,34,27
DdoGqrlFWPtVkxhhq1N8yrF6y2EsPQPeMcV5mqYQ7twJETCyDJ-jKR1buK-ubnlKmqkfMRjBZRkLBw,jake,401,132,618,31,27
2LYp7Al1VfqSr9nu1mjmcD5NddcLSS0izHx7sfFDLAKCKYMqSLXTu1DYvLJhtGpXYXHUPJGE2UFbzQ,babe,ﾒﾒﾒ,133,616,28,27
