,timestamp,open,high,low,close,volume,daily_return
95,2023-07-21,268.0,268.0,255.8,260.02,161796073,-3.359845387645888
96,2023-07-20,279.56,280.93,261.2,262.9,175158273,1.1076071071455917
97,2023-07-19,296.04,299.29,289.5201,291.26,142355353,10.78737162419172
98,2023-07-18,290.15,295.26,286.01,293.34,112434713,0.7141385703495207
99,2023-07-17,286.625,292.23,283.57,290.38,131569593,-1.0090679757278176
100,2023-07-14,277.01,285.3,276.31,281.38,120062369,-3.0993870101246657
101,2023-07-13,274.59,279.45,270.6,277.9,112681458,-1.236761674603748
102,2023-07-12,276.325,276.52,271.46,271.99,95672139,-2.126664267722189
103,2023-07-11,268.65,270.9,266.37,269.79,91972358,-0.8088532666642112
104,2023-07-10,276.47,277.52,265.1,269.61,119425405,-0.06671855887913081
105,2023-07-07,278.43,280.78,273.77,274.43,113879174,1.7877675160416828
106,2023-07-06,278.09,279.97,272.88,276.54,120707419,0.7688663775826221
107,2023-07-05,278.82,283.85,277.6,282.48,131530862,2.1479713603818507
108,2023-07-03,276.49,284.25,275.11,279.82,119685891,-0.9416595865194055
109,2023-06-30,260.6,264.45,259.89,261.77,112620784,-6.4505753698806405
110,2023-06-29,258.03,260.74,253.61,257.5,131283360,-1.6312029644344195
111,2023-06-28,249.7,259.88,248.89,256.24,159770797,-0.4893203883495123
112,2023-06-27,243.24,250.3899,240.85,250.21,164968214,-2.35326256634405
113,2023-06-26,250.065,258.37,240.7,241.05,179990552,-3.660924823148559
114,2023-06-23,259.29,262.45,252.8,256.6,177460803,6.450943787595942
115,2023-06-22,250.77,265.0,248.25,264.61,166875944,3.121590023382703
116,2023-06-21,275.13,276.99,257.78,259.46,211797109,-1.9462605343713468
117,2023-06-20,261.5,274.75,261.12,274.45,165611217,5.777383797117097
118,2023-06-16,258.92,263.6,257.2091,260.54,167915649,-5.068318455091991
119,2023-06-15,248.4,258.95,247.29,255.9,160171238,-1.7809165579181774
120,2023-06-14,260.17,261.57,250.5,256.79,170575536,0.34779210629152235
121,2023-06-13,253.51,259.68,251.34,258.71,162384343,0.7476926671599271
122,2023-06-12,247.94,250.97,244.59,249.83,150740523,-3.432414672799644
